id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_s,miss_distance_au,orbiting_body
54514896,(2025 AZ1),27.48,0.0084831076,0.0189688053,False,2025-01-04,13.8758628752,0.0174424329,Earth
54514899,(2025 AC2),25.33,0.0228325794,0.0510551996,False,2025-01-04,6.3310086637,0.0240729357,Earth
54516261,(2025 BS),23.64,0.0497227313,0.1111834072,False,2025-01-04,14.8357396277,0.0792876136,Earth
3553148,(2010 XB11),19.69,0.3065878759,0.6855513317,False,2025-01-03,18.9394637946,0.1271169416,Earth
3645041,(2013 NC15),22.14,0.0992098919,0.2218400624,False,2025-01-03,12.0604970908,0.1712353484,Earth
3647191,(2013 RT9),26.5,0.0133215567,0.0297879063,False,2025-01-03,4.5094400585,0.2441933616,Earth
3837864,(2019 AS11),26.8,0.0116025908,0.0259441818,False,2025-01-03,11.8634390203,0.3233704888,Earth
3843735,(2019 QL7),26.65,0.0124324001,0.0277996916,False,2025-01-03,8.5809752089,0.3917128541,Earth
54016994,(2020 JH1),24.9,0.0278326768,0.0622357573,False,2025-01-03,7.5364491932,0.4197685538,Earth
54053733,(2020 RL),25.1,0.0253837029,0.0567596853,False,2025-01-03,8.7686642999,0.2735556436,Earth
54279762,(2022 KA),25.15,0.0248058993,0.0554676771,False,2025-01-03,6.0043563141,0.2515034537,Earth
54336914,(2022 YS5),24.84,0.0286124454,0.0639793729,False,2025-01-03,6.2612116938,0.1116918607,Earth
54349273,(2023 EY2),19.75,0.2982325052,0.6668681546,False,2025-01-03,18.7768132046,0.2098571218,Earth
54507938,(2024 YL1),27.32,0.0091317703,0.020419259,False,2025-01-03,4.783632141,0.0157553328,Earth
54508760,(2024 YE2),25.23,0.0239086457,0.0534613571,False,2025-01-03,7.5259736958,0.1505429687,Earth
54511958,(2024 YC9),26.96,0.0107784169,0.0241012728,False,2025-01-03,8.6924012752,0.0087328472,Earth
54513047,(2025 AB),27.13,0.0099667824,0.022286403,False,2025-01-03,11.5602531925,0.0010235931,Earth
54513657,(2025 AE),25.74,0.0189040552,0.0422707525,False,2025-01-03,16.7458318545,0.0420371612,Earth
54514029,(2025 AO),28.75,0.0047266667,0.010569148,False,2025-01-03,9.8164056072,0.0030704127,Earth
54514893,(2025 AX1),26.85,0.0113384836,0.0253536201,False,2025-01-03,14.6021228615,0.007296316,Earth
54515071,(2025 AN2),27.04,0.010388551,0.0232295062,False,2025-01-03,8.4915769333,0.0047220816,Earth
54515308,(2025 AC3),25.7,0.0192555078,0.0430566244,False,2025-01-03,7.1376457399,0.0523433601,Earth
54516463,(2025 BE1),26.47,0.013506878,0.0302022973,False,2025-01-03,8.2396904194,0.0531259441,Earth
54539579,(2025 OC17),23.12,0.0631764148,0.1412667581,False,2025-01-03,12.0852264257,0.136568664,Earth
2459462,459462 (2013 AY52),19.9,0.2783267681,0.6223575734,False,2025-01-02,17.4222331434,0.1058192647,Earth
3648769,(2013 TK4),23.98,0.0425162524,0.0950692305,False,2025-01-02,17.9086965031,0.3558927789,Earth
3656933,(2014 BM25),28.1,0.0063760979,0.0142573883,False,2025-01-02,15.3371937843,0.2856565652,Earth
3703792,(2015 BF),26.6,0.0127219879,0.0284472297,False,2025-01-02,25.6759881383,0.4822886342,Earth
3766462,(2017 AZ13),21.98,0.1067959975,0.2388031102,False,2025-01-02,11.9983637463,0.1629267692,Earth
3837784,(2019 AR8),25.61,0.0200703514,0.0448786701,False,2025-01-02,22.7966474576,0.4418261269,Earth
3842769,(2019 LS1),22.48,0.0848310762,0.189688053,False,2025-01-02,12.4314874464,0.1245980012,Earth
3843713,(2019 QS6),26.1,0.0160160338,0.0358129403,False,2025-01-02,5.1027498837,0.2736776639,Earth
3968754,(2019 YA5),26.0,0.0167708462,0.0375007522,False,2025-01-02,12.6061556875,0.2794299081,Earth
