des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname,Potentially Hazardous,Estimated Diameter (km)
2025 AG1,4,2460676.724917701,2025-Jan-01 05:24,0.00448547729513975,0.0044814745253513,0.00448947986261649,2.64514007199865,2.410128381428,< 00:01,29.49,       (2025 AG1),No,0.4492219441925915
2024 YY8,4,2460676.801043514,2025-Jan-01 07:14,0.00862584956427683,0.0086132275144949,0.00863847057985618,4.75809396515629,4.69272508808468,< 00:01,28.73,       (2024 YY8),No,0.6374717788142934
2024 YJ9,3,2460676.818446331,2025-Jan-01 07:39,0.00845523488796243,0.0084168987339931,0.00849357025624052,14.1845754202856,14.1623417664,< 00:01,27.91,       (2024 YJ9),No,0.9299529214573834
2025 AC4,1,2460676.929142580,2025-Jan-01 10:18,0.0429341231261257,0.0425902437491842,0.0432779999840137,15.9737833451646,15.9698977746646,< 00:01,24.57,       (2025 AC4),No,4.329731478616063
2024 YY4,7,2460677.401344525,2025-Jan-01 21:38,0.0112040630209147,0.0111992580737693,0.0112088678460497,4.00852673417402,3.948754137697,< 00:01,26.44,       (2024 YY4),No,1.8300416042088128
2024 YR9,4,2460677.563894024,2025-Jan-02 01:32,0.0223837893552108,0.0223123795440683,0.0224551989147712,20.7411443241603,20.7354044003094,< 00:01,25.74,       (2024 YR9),No,2.5261606340184692
2025 AO1,2,2460677.592154591,2025-Jan-02 02:13,0.00352741112777369,0.0034987448934822,0.00355606689848823,8.11090768635511,8.01723739949244,< 00:01,27.94,       (2025 AO1),No,0.917193489036229
2024 YF7,6,2460677.620086006,2025-Jan-02 02:53,0.0129568283244903,0.0129242021283468,0.0129894541559432,13.5690330333477,13.5538692528695,< 00:01,25.76,       (2024 YF7),No,2.5030006541160588
2024 YS9,2,2460677.628978381,2025-Jan-02 03:06,0.0105779295116587,0.0105285622358533,0.0106272962826548,21.2159080738794,21.2040320343958,< 00:01,27.82,       (2024 YS9),No,0.9693061385502544
2025 AE2,7,2460677.723870850,2025-Jan-02 05:22,0.0487449253757375,0.0486546952365597,0.0488351551365946,9.86314849639695,9.8576049276248,< 00:01,24.68,       (2025 AE2),No,4.115863498816935
2025 AA2,3,2460677.861767879,2025-Jan-02 08:41,0.00832785120270453,0.0083029613385433,0.00835274055276272,13.5226284609808,13.4989475328028,< 00:01,26.09,       (2025 AA2),No,2.15011140622255
2025 AC,4,2460678.441924841,2025-Jan-02 22:36,0.000937322077407543,0.0009372917308124,0.000937352423170974,4.27897837743069,3.5530767493392,< 00:01,29.02,       (2025 AC),No,0.5577774636278797
2024 YC9,6,2460678.699327162,2025-Jan-03 04:47,0.00873284721795822,0.008725656526753,0.00874003781356327,8.69240127521799,8.65722934057628,< 00:01,26.96,       (2024 YC9),No,1.44032653955941
2025 AB,6,2460678.765340492,2025-Jan-03 06:22,0.00102359312341815,0.0010232156502756,0.00102397058592668,11.560253192486,11.3328427175776,< 00:01,27.13,       (2025 AB),No,1.3318673210053462
2025 AE,3,2460679.047636419,2025-Jan-03 13:09,0.0420371611914446,0.0416787572861159,0.0423955623360445,16.7458318545111,16.7420463711578,< 00:01,25.74,       (2025 AE),No,2.5261606340184692
2025 AO,1,2460679.223420657,2025-Jan-03 17:22,0.00307041265323214,0.0030644609225634,0.00307636399537746,9.81640560724096,9.72760171756278,< 00:01,28.75,       (2025 AO),No,0.6316274024168191
2025 AX1,3,2460679.240858820,2025-Jan-03 17:47,0.00729631599149638,0.007278421668126,0.00731421002943741,14.6021228615029,14.5770926161293,< 00:01,26.85,       (2025 AX1),No,1.515168605472233
2024 YL1,4,2460679.251769199,2025-Jan-03 18:03,0.0157553327742173,0.0157025660680353,0.015808094278153,4.7836321409968,4.74814747026248,< 00:01,27.32,       (2024 YL1),No,1.2202841296289921
2025 AN2,4,2460679.270527427,2025-Jan-03 18:30,0.00472208155009712,0.0047100952451356,0.00473406691426544,8.4915769332959,8.42486556744118,< 00:01,27.04,       (2025 AN2),No,1.3882285223232382
2024 YL7,6,2460679.660838299,2025-Jan-04 03:52,0.0325769358614237,0.0325254582663189,0.0326284129504413,7.2627755797021,7.25150525060152,< 00:01,25.39,       (2024 YL7),No,2.967979952292787
